阿姨	ā yí	auntie [mother's younger sister]    
讨论	tǎo lùn	to discuss
讨厌	tǎo yàn	dislike; loathe
特别	tè bié	special; especially
体育馆	tǐ yù guǎn	sports centre; gym
甜	tián	sweet
条	tiáo	[measure word for long pieces (hair; branch; trousers etc.)]
听说	tīng shuō	it is said that
停	tíng	to stop
同意	tóng yì	to agree
突然	tū rán	suddenly
图书馆	tú shū guǎn	library
兔子	tù zi	rabbit
腿	tuǐ	leg
脱	tuō	to escape; shed
玩具	wán jù	toy
万	wàn	ten thousand
网球	wǎng qiú	tennis
忘记	wàng jì	forget
危险	wēi xiǎn	dangerous; danger
为了	wèi le	in order to
为什么	wèi shén me	why?
无论	wú lùn	no matter what or how
西	xī	west
西红柿	xī hóng shì	tomato
希望	xī wàng	hope; wish
习惯	xí guàn	be used to
洗手间	xǐ shǒu jiān	toilets; washroom
夏	xià	summer
下雪	xià xuě	snow
先	xiān	first
响	xiǎng	echo
向	xiàng	towards
小心	xiǎo xīn	take care
校园	xiào yuán	campus
心情	xīn qíng	mood
新闻	xīn wén	news
信封	xìn fēng	envelope
星星	xīng xing	star
行	xíng	OK
醒	xǐng	wake; awake
幸福	xìng fú	happiness
选择	xuǎn zé	choice
眼镜	yǎn jìng	(eye) glasses
羊肉	yáng ròu	mutton
钥匙	yào shi	key
页	yè	page
一定	yí dìng	definitely
一共	yí gòng	altogether
一会儿	yí huì er	a short while
一下儿	yí xià er	once; all of a sudden; for a moment
一样	yí yàng	same; identical
已经	yǐ jīng	already
以前	yǐ qián	before
以为	yǐ wéi	think; feel; reckon
一边……一边……	yì biān ...... yì biān ...... 	on the one hand ... on the other hand ...
一点儿	yì diǎn er	a little
一起	yì qǐ	together
一直	yì zhí	straight on; always
饮料	yǐn liào	drink
应该	yīng gāi	should
勇敢	yǒng gǎn	brave
用	yòng	to use
游戏	yóu xì	game
有名	yǒu míng	famous
元	yuán	yuan [unit of Chinese currency]; dollar
圆	yuán	round
越来越......	yuè lái yuè ……	more and more ...
月亮	yuè liang	moon
云	yún	cloud
杂志	zá zhì	magazine
站	zhàn	stand
张	zhāng	to open up; to spread; [measure word for table, picture, paper etc]
照顾	zhào gù	to look after
照片	zhào piàn	photograph
照相	zhào xiàng	to take a photo
这	zhè 	this
着	zhe	-ing
正在	zhèng zài	to be in the process of
知识	zhī shi	knowledge
只要	zhǐ yào	so long as ...
中间	zhōng jiān	middle
种	zhǒng	kind; type 
重要	zhòng yào	important
周末	zhōu mò	weekend
住	zhù	to live; stay (a number of nights)
祝贺	zhù hè	to congratulate
注意	zhù yì	take note of
准备	zhǔn bèi	to prepare
准时	zhǔn shí	punctual
最近	zuì jìn	recently
作业	zuò yè	homework
