保卫	保衛	<span class="pinYinWrapper"><span class="t3">bǎo</span> <span class="t4">wèi</span></span>	<span class="zhuyin">ㄅㄠˇ ㄨㄟˋ</span>	[sound:cmn-保卫.mp3]	<div class="char"><span class="char-tone3">保</span><span class="char-tone4">卫</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǎo</span> <span class="t4">wèi</span></span></div><div class='meaning'><ul><li>to defend</li><li> to safeguard</li></ul></div>
保养	保養	<span class="pinYinWrapper"><span class="t3">bǎo</span> <span class="t3">yǎng</span></span>	<span class="zhuyin">ㄅㄠˇ ㄧㄤˇ</span>	[sound:cmn-保养.mp3]	<div class="char"><span class="char-tone3">保</span><span class="char-tone3">养</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǎo</span> <span class="t3">yǎng</span></span></div><div class='meaning'><ul><li>to take good care of (or conserve) one's health</li><li> to keep in good repair</li><li> to maintain</li><li> maintenance</li></ul></div>
报答	報答	<span class="pinYinWrapper"><span class="t4">bào</span> <span class="t2">dá</span></span>	<span class="zhuyin">ㄅㄠˋ ㄉㄚˊ</span>	[sound:cmn-报答.mp3]	<div class="char"><span class="char-tone4">报</span><span class="char-tone2">答</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bào</span> <span class="t2">dá</span></span></div><div class='meaning'><ul><li>to repay</li><li> to requite</li></ul></div>
报警	報警	<span class="pinYinWrapper"><span class="t4">bào</span> <span class="t3">jǐng</span></span>	<span class="zhuyin">ㄅㄠˋ ㄐㄧㄥˇ</span>	[sound:cmn-报警.mp3]	<div class="char"><span class="char-tone4">报</span><span class="char-tone3">警</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bào</span> <span class="t3">jǐng</span></span></div><div class='meaning'><ul><li>to sound an alarm</li><li> to report sth to the police</li></ul></div>
抱怨	抱怨	<span class="pinYinWrapper"><span class="t4">bào</span> <span class="t4">yuàn</span></span>	<span class="zhuyin">ㄅㄠˋ ㄩㄢˋ</span>	[sound:cmn-抱怨.mp3]	<div class="char"><span class="char-tone4">抱</span><span class="char-tone4">怨</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bào</span> <span class="t4">yuàn</span></span></div><div class='meaning'><ul><li>to complain</li><li> to grumble</li><li> to harbor a complaint</li><li> to feel dissatisfied</li></ul></div>
背包	背包	<span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t1">bāo</span></span>	<span class="zhuyin">ㄅㄟ ㄅㄠ</span>	[sound:cmn-背包.mp3]	<div class="char"><span class="char-tone1">背</span><span class="char-tone1">包</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t1">bāo</span></span></div><div class='meaning'><ul><li>knapsack</li><li> rucksack</li><li> infantry pack</li><li> field pack</li><li> blanket roll</li><li> CL:個|个[ge4]</li></ul></div>
悲剧	悲劇	<span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t4">jù</span></span>	<span class="zhuyin">ㄅㄟ ㄐㄩˋ</span>	[sound:cmn-悲剧.mp3]	<div class="char"><span class="char-tone1">悲</span><span class="char-tone4">剧</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t4">jù</span></span></div><div class='meaning'><ul><li>tragedy</li><li> CL:出[chu1]</li></ul></div>
悲伤	悲傷	<span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t1">shāng</span></span>	<span class="zhuyin">ㄅㄟ ㄕㄤ</span>	[sound:cmn-悲伤.mp3]	<div class="char"><span class="char-tone1">悲</span><span class="char-tone1">伤</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">bēi</span> <span class="t1">shāng</span></span></div><div class='meaning'><ul><li>sad</li><li> sorrowful</li></ul></div>
北极	北極	<span class="pinYinWrapper"><span class="t3">běi</span> <span class="t2">jí</span></span>	<span class="zhuyin">ㄅㄟˇ ㄐㄧˊ</span>	[sound:cmn-北极.mp3]	<div class="char"><span class="char-tone3">北</span><span class="char-tone2">极</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">běi</span> <span class="t2">jí</span></span></div><div class='meaning'><ul><li>the North Pole</li><li> the Arctic Pole</li><li> the north magnetic pole</li></ul></div>
被动	被動	<span class="pinYinWrapper"><span class="t4">bèi</span> <span class="t4">dòng</span></span>	<span class="zhuyin">ㄅㄟˋ ㄉㄨㄥˋ</span>	[sound:cmn-被动.mp3]	<div class="char"><span class="char-tone4">被</span><span class="char-tone4">动</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bèi</span> <span class="t4">dòng</span></span></div><div class='meaning'><ul><li>passive</li></ul></div>
